in_source,in_amount_mmol,p_source,p_amount_mmol,sol,sol_amount_ml,second_sol,second_sol_amount_ml,acid,acid_amount_mmol,ligand_source,ligand_amount_mmol,other_1,other_1_amount_mmol,other_2,other_2_amount_mmol,total_volume_ml,temp_c,time_min,diameter_nm,abs_nm,emission_nm
indium acetate,1.2,tris(trimethylsilyl)phosphine,0.607,octadecene,12,None,0,stearic acid,3.6,None,0,None,0,None,0,12,230,15,None,498,542
indium acetate,1.2,tris(trimethylsilyl)phosphine,0.607,octadecene,12,None,0,palmitic acid,3.6,None,0,None,0,None,0,12,230,5,None,502,548
indium myristate,0.1,tris(trimethylsilyl)phosphine,0.1,octadecene,8.5,None,0,None,0,None,0,zinc stearate,0.1,None,0,8.5,300,20,None,500,550
indium acetate,1.2,tris(trimethylsilyl)phosphine,0.607,octadecene,12,None,0,myristic acid,3.6,None,0,None,0,None,0,12,230,5,None,512,554
indium acetate,1.2,tris(trimethylsilyl)phosphine,0.607,octadecene,12,None,0,oleic acid,3.6,None,0,None,0,None,0,12,230,15,None,512,558
indium chloride,0.45,tris(dimethylamino)phosphine,1.926,None,0,None,0,None,0,oleylamine,7.4,zinc chloride,2.2,None,0,2.435,170,10,None,576,628
indium chloride,0.9,tris(diethylamino)phosphine,3.2,None,0,None,0,None,0,oleylamine,17.2,zinc chloride,4.4,None,0,5.66,180,5,None,515,None
indium chloride,0.9,tris(diethylamino)phosphine,3.2,None,0,None,0,None,0,oleylamine,17.2,zinc chloride,4.4,None,0,5.66,220,5,None,552,None
indium chloride,0.9,tris(diethylamino)phosphine,3.2,None,0,None,0,None,0,oleylamine,17.2,zinc chloride,4.4,None,0,5.66,160,10,None,455,None
indium chloride,0.9,tris(diethylamino)phosphine,3.2,None,0,None,0,None,0,oleylamine,17.2,zinc chloride,4.4,None,0,5.66,180,10,None,523,None
indium chloride,0.9,tris(diethylamino)phosphine,3.2,None,0,None,0,None,0,oleylamine,17.2,zinc chloride,4.4,None,0,5.66,220,10,None,569,None
indium chloride,0.9,tris(diethylamino)phosphine,3.2,None,0,None,0,None,0,oleylamine,17.2,zinc chloride,4.4,None,0,5.66,160,20,None,468,None
indium chloride,0.9,tris(diethylamino)phosphine,3.2,None,0,None,0,None,0,oleylamine,17.2,zinc chloride,4.4,None,0,5.66,180,20,None,544,None
indium chloride,0.9,tris(diethylamino)phosphine,3.2,None,0,None,0,None,0,oleylamine,17.2,zinc chloride,4.4,None,0,5.66,220,20,None,592,None
indium chloride,0.9,tris(diethylamino)phosphine,3.2,None,0,None,0,None,0,oleylamine,17.2,zinc chloride,4.4,None,0,5.66,140,30,None,440,None
indium chloride,0.9,tris(diethylamino)phosphine,3.2,None,0,None,0,None,0,oleylamine,17.2,zinc chloride,4.4,None,0,5.66,140,30,None,410,None
indium chloride,0.9,tris(diethylamino)phosphine,3.2,None,0,None,0,None,0,oleylamine,17.2,zinc chloride,4.4,None,0,5.66,160,30,None,492,None
indium chloride,0.9,tris(diethylamino)phosphine,3.2,None,0,None,0,None,0,oleylamine,17.2,zinc chloride,4.4,None,0,5.66,180,30,None,550,None
indium chloride,0.9,tris(diethylamino)phosphine,3.2,None,0,None,0,None,0,oleylamine,17.2,zinc chloride,4.4,None,0,5.66,220,30,None,600,None
indium acetate,0.6,tris(trimethylsilyl)phosphine,0.4,octadecene,10,trioctylphosphine,1,lauric acid,1.8,None,0,zinc acetate,1.2,oleic acid,2.4,11,240,60,2,430,477
indium chloride,0.45,tris(dimethylamino)phosphine,1.6,None,0,None,0,None,0,oleylamine,6.15,zinc chloride,2.2,None,0,2.024,180,30,2.48,None,None
indium chloride,0.45,tris(dimethylamino)phosphine,1.93,None,0,None,0,None,0,oleylamine,15.2,zinc chloride,2.2,copper bromide,0.45,5.002,200,60,2,420,422
indium acetate,0.6,tris(trimethylsilyl)phosphine,0.4,octadecene,10,trioctylphosphine,1,lauric acid,1.8,None,None,zinc oleate,1.2,None,0,11,240,60,2,430,477
indium acetate,3,tris(trimethylsilyl)phosphine,1.5,octadecene,45,trioctylphosphine,3,oleic acid,9,None,0,None,0,None,0,48,260,60,2.4,None,None
indium acetate,4,tris(trimethylsilyl)phosphine,2,octadecene,100,trioctylphosphine,10,palmitic acid,12,None,0,None,0,None,0,110,260,40,2.7,500,None
indium chloride,0.45,tris(dimethylamino)phosphine,1.38,None,0,None,0,None,0,dodecylamine,3.7,zinc chloride,2.2,None,0,0.85,180,5,3.2,550,None
indium chloride,0.225,tris(diethylamino)phosphine,0.8,None,0,None,0,None,0,oleylamine,7.5,zinc chloride,1.1,None,0,2.468,180,30,3.2,560,None
indium chloride,0.45,tris(dimethylamino)phosphine,1.93,None,0,None,0,None,0,oleylamine,15.2,zinc chloride,2.2,None,0,5.002,200,60,None,590,625
indium acetate,4,tris(trimethylsilyl)phosphine,2,octadecene,100,trioctylphosphine,10,palmitic acid,12,None,0,None,0,None,0,110,260,1,None,465,None
indium acetate,4,tris(trimethylsilyl)phosphine,2,octadecene,100,trioctylphosphine,10,palmitic acid,12,None,0,None,0,None,0,110,260,20,None,495,None
indium chloride,0.9,tris(dimethylamino)phosphine,1.4,None,0,None,0,None,0,oleylamine,15.2,zinc chloride,0.9,None,0,5.002,220,0.5,2.1,None,None
indium chloride,0.9,tris(dimethylamino)phosphine,1.4,None,0,None,0,None,0,oleylamine,15.2,zinc chloride,0.9,None,0,5.002,220,10,3,None,None
indium acetate,0.34,tris(trimethylsilyl)phosphine,0.23,octadecene,9,None,0,oleic acid,1,None,0,None,0,None,0,9,310,10,3.2,None,None
indium iodide,0.9,tris(dimethylamino)phosphine,1.3,None,0,None,0,None,0,oleylamine,6,zinc chloride,2.2,None,0,1.975,180,2,None,485,None
indium chloride,0.1,tris(trimethylsilyl)phosphine,0.1,trioctylphosphine,5,None,0,None,0,None,0,zinc oleate,2,None,0,5,280,60,2.3,423,485
indium chloride,0.5,tris(dimethylamino)phosphine,2.75,None,0,None,0,None,0,oleylamine,6.15,zinc chloride,1.5,zinc iodide,0.5,2.024,180,30,3,490,560
indium acetate,0.1,tris(trimethylsilyl)phosphine,0.1,octadecene,6.75,None,0,oleic acid,0.91,None,0,zinc oleate,0.1,None,0,6.75,300,10,None,455,507
indium acetate,0.1,tris(trimethylsilyl)phosphine,0.1,octadecene,6.75,None,0,oleic acid,0.268,None,0,zinc oleate,0.1,None,0,6.75,300,10,None,460,518
indium acetate,0.1,tris(trimethylsilyl)phosphine,0.1,octadecene,6.75,None,0,oleic acid,0.288,None,0,zinc oleate,0.1,None,0,6.75,300,10,None,457,522
indium acetate,0.1,tris(trimethylsilyl)phosphine,0.1,octadecene,6.75,None,0,oleic acid,0.308,None,0,zinc oleate,0.1,None,0,6.75,300,10,None,456,525
indium acetate,0.1,tris(trimethylsilyl)phosphine,0.1,octadecene,6.75,None,0,oleic acid,0.248,None,0,zinc oleate,0.1,None,0,6.75,300,10,None,470,530
indium chloride,0.45,tris(diethylamino)phosphine,0,None,0,None,0,None,0,oleylamine,15,None,0,None,0,4.936,180,3,None,490,None
indium chloride,0.45,tris(diethylamino)phosphine,1.6,toluene,3,None,0,None,0,oleylamine,15.19,zinc chloride,2.2,None,0,7.998,180,30,None,575,None
indium chloride,0.45,tris(diethylamino)phosphine,0,None,0,None,0,None,0,oleylamine,15,None,0,None,0,4.936,180,120,2.5,550,None
indium iodide,0.45,tris(dimethylamino)phosphine,1,None,0,None,0,None,0,oleylamine,3.7,zinc chloride,1.1,None,0,1.218,180,3,1.7,480,None
indium acetate,0.08,tris(trimethylsilyl)phosphine,0.08,octadecene,7,None,0,myristic acid,0.26,octylamine,0.38,None,0,None,0,7.063,200,30,2.1,460,590
indium acetate,1,tris(trimethylsilyl)phosphine,1,None,0,None,0,None,0,dodecanethiol,0.5,zinc stearate,2,None,0,0.12,300,30,None,539,480
indium acetate,1,tris(trimethylsilyl)phosphine,1,octadecene,1,None,0,None,0,dodecanethiol,0.5,zinc octanoate,2,None,0,1.12,180,60,None,None,500
indium acetate,1,tris(trimethylsilyl)phosphine,1,octadecene,1,None,0,None,0,dodecanethiol,0.5,zinc octanoate,2,None,0,1.12,180,120,None,None,520
indium acetate,1,tris(trimethylsilyl)phosphine,1,octadecene,1,None,0,None,0,dodecanethiol,0.5,zinc octanoate,2,None,0,1.12,180,240,None,None,538
indium acetate,1,tris(trimethylsilyl)phosphine,1,octadecene,1,None,0,None,0,dodecanethiol,0.5,zinc octanoate,2,None,0,1.12,200,75,None,None,540
indium acetate,1,tris(trimethylsilyl)phosphine,1,octadecene,1,None,0,None,0,dodecanethiol,0.5,zinc octanoate,2,None,0,1.12,280,30,None,None,590
indium acetate,1,tris(trimethylsilyl)phosphine,1,octadecene,1,None,0,None,0,dodecanethiol,0.5,zinc octanoate,2,None,0,1.12,280,120,None,None,600
indium acetate,4,tris(trimethylsilyl)phosphine,2,octadecene,17,None,0,myristic acid,14.5,None,0,None,0,None,0,17,285,20,2.4,530,579
indium acetate,0.2,tris(trimethylsilyl)phosphine,0.1,octadecene,10,trioctylphosphine,0.5,palmitic acid,0.6,None,0,None,0,None,0,10.5,280,20,2.5,580,None
indium chloride,0.23,tris(diethylamino)phosphine,0.8,None,0,None,0,None,0,oleylamine,7.5,zinc chloride,1.1,None,0,2.468,180,20,2.9,573,618
indium chloride,0.1,tris(trimethylsilyl)phosphine,0.2,octadecene,6,None,0,stearic acid,0.01,hexadecylamine,0.2,zinc undecylenate,0.01,None,0,6.052,230,20,3.2,555,645
indium acetate,0.2,tris(trimethylsilyl)phosphine,0.1,octadecene,10,trioctylphosphine,0.5,palmitic acid,0.6,None,0,None,0,None,0,10.5,280,20,3.26,584,615
indium chloride,0.45,tris(diethylamino)phosphine,1.6,octadecene,11,None,0,myristic acid,0.45,oleylamine,9,zinc iodide,2.2,None,0,13.962,150,30,None,405,470
indium chloride,0.45,tris(diethylamino)phosphine,1.6,octadecene,11,None,0,myristic acid,1.35,oleylamine,9,zinc iodide,2.2,None,0,13.962,150,30,None,416,475
indium chloride,0.45,tris(diethylamino)phosphine,1.6,octadecene,11,None,0,myristic acid,1.35,oleylamine,9,zinc bromide,2.2,None,0,13.962,150,30,None,448,501
indium chloride,0.45,tris(diethylamino)phosphine,1.6,octadecene,11,None,0,myristic acid,0.45,oleylamine,9,zinc bromide,2.2,None,0,13.962,150,30,None,439,502
indium chloride,0.45,tris(diethylamino)phosphine,1.6,None,0,None,0,None,0,oleylamine,33,zinc iodide,2.2,None,0,10.858,150,30,None,428,502
indium chloride,0.45,tris(diethylamino)phosphine,1.6,None,0,None,0,None,0,oleylamine,15,zinc iodide,2.2,None,0,4.936,180,30,None,423,507
indium chloride,0.45,tris(diethylamino)phosphine,1.6,None,0,None,0,None,0,oleylamine,15,zinc bromide,2.2,None,0,4.936,180,30,None,573,531
indium chloride,0.45,tris(diethylamino)phosphine,1.6,None,0,None,0,None,0,oleylamine,33,zinc bromide,2.2,None,0,10.858,150,30,None,478,538
indium chloride,0.45,tris(diethylamino)phosphine,1.6,octadecene,11,None,0,myristic acid,0.45,oleylamine,9,zinc chloride,2.2,None,0,13.962,150,30,None,515,551
indium chloride,0.45,tris(diethylamino)phosphine,1.6,octadecene,11,None,0,myristic acid,1.35,oleylamine,9,zinc chloride,2.2,None,0,13.962,150,30,None,508,555
indium acetate,1,tris(trimethylsilyl)phosphine,1,octadecene,1,None,0,None,0,dodecanethiol,0.5,zinc octanoate,2,None,0,1.12,230,30,None,None,560
indium chloride,0.45,tris(diethylamino)phosphine,1.6,None,0,None,0,None,0,oleylamine,33,zinc chloride,2.2,None,0,10.858,150,30,None,568,606
indium chloride,0.45,tris(diethylamino)phosphine,1.6,None,0,None,0,None,0,oleylamine,15,zinc chloride,2.2,None,0,4.936,180,30,None,570,607
indium chloride,0.1,tris(trimethylsilyl)phosphine,0.1,octadecene,3,None,0,stearic acid,0.1,hexadecylamine ,0.2,zinc undecylenate,0.08,None,0,3.052,240,20,None,570,630
indium acetate,0.1,tris(trimethylsilyl)phosphine,0.1,octadecene,10,None,0,oleic acid,0.3,None,0,zinc oleate,0.13,None,0,10,300,10,None,460,480
indium acetate,0.2,phosphine gas,0.19,octadecene,15,None,0,myristic acid,0.6,None,0,None,0,None,0,15,240,13,None,620,None
indium acetate,0.2,phosphine gas,0.19,octadecene,15,None,0,myristic acid,0.6,None,0,None,0,None,0,15,240,5,None,570,None
indium acetate,0.2,phosphine gas,0.19,octadecene,15,None,0,myristic acid,0.6,None,0,None,0,None,0,15,240,20,None,590,610
indium chloride,0.3,tris(trimethylsilyl)phosphine,0.3,octadecene,9,None,0,oleic acid,0.34,oleylamine,0.62,zinc undecylenate,0.3,None,0,9.204,210,20,1.95,595,620
indium chloride,0.23,tris(diethylamino)phosphine,0.8,None,0,None,0,None,0,oleylamine,7.5,zinc chloride,1.1,None,0,2.468,180,20,3.2,None,None
indium acetate,0.1,phosphine gas,3,octadecene,2,None,0,myristic acid,0.3,None,0,None,0,None,0,2,230,15,4.5,623,None
indium acetate,0.1,phosphine gas,3,octadecene,2,None,0,myristic acid,0.3,None,0,None,0,None,0,2,260,15,4.5,660,None
indium iodide,0.3,tris(dimethylamino)phosphine,0.66,None,0,None,0,None,0,oleylamine,6,zinc chloride,0.73,None,0,1.975,180,2,None,505,530
indium acetate,0.2,phosphine gas,0.19,octadecene,15,None,0,myristic acid,0.6,None,0,None,0,None,0,15,200,15,None,548,None
indium acetate,0.2,phosphine gas,0.19,octadecene,15,None,0,myristic acid,0.6,None,0,None,0,None,0,15,220,15,None,570,None
indium acetate,0.2,phosphine gas,0.19,octadecene,15,None,0,myristic acid,0.6,None,0,None,0,None,0,15,260,15,None,600,None
